County,Year,precip_total,temp_min,temp_mean,temp_max,dewpoint_mean,vpd_max,vpd_min
Grant,2023,16.09,53.73333333333333,64.51666666666667,75.31666666666666,52.666666666666664,17.073333333333334,1.3533333333333335
Grant,2024,29.25,54.65,64.53333333333333,74.43333333333334,55.46666666666667,14.453333333333333,0.6383333333333333
Green,1984,24.02,50.31666666666666,61.800000000000004,73.26666666666667,51.01666666666667,15.476666666666667,0.9016666666666667
Green,1985,18.21,51.550000000000004,63.1,74.63333333333334,52.36666666666667,16.06,1.0516666666666667
Green,1986,25.369999999999997,52.61666666666667,63.28333333333333,73.93333333333334,54.116666666666674,14.018333333333333,0.7366666666666667
Green,1987,24.33,53.43333333333334,64.61666666666667,75.8,54.48333333333333,16.01,0.8083333333333332
Green,1988,11.05,51.98333333333333,65.38333333333334,78.78333333333333,50.51666666666667,22.366666666666664,1.755
Green,1989,18.98,50.11666666666667,61.583333333333336,73.0,51.18333333333334,15.278333333333334,0.8483333333333333
Green,1990,26.93,51.76666666666667,62.28333333333333,72.81666666666666,53.199999999999996,13.721666666666666,0.7466666666666666
Green,1991,17.57,53.68333333333334,64.66666666666667,75.61666666666666,54.699999999999996,16.268333333333334,0.7966666666666667
Green,1992,19.560000000000002,48.76666666666667,59.666666666666664,70.5,49.416666666666664,13.909999999999998,0.9283333333333333
Green,1993,39.11,51.46666666666667,61.03333333333333,70.56666666666666,53.03333333333333,12.031666666666666,0.7083333333333334
Green,1994,26.77,51.28333333333333,62.46666666666667,73.60000000000001,51.699999999999996,15.155,0.9266666666666667
Green,1995,22.54,52.400000000000006,62.866666666666674,73.35000000000001,53.43333333333334,14.945,0.7416666666666667
Green,1996,25.95,50.25,60.38333333333333,70.51666666666667,51.98333333333333,12.421666666666667,0.5666666666666667
Green,1997,25.02,49.93333333333334,60.51666666666667,71.08333333333333,51.48333333333333,13.015,0.6716666666666667
Green,1998,29.33,54.166666666666664,63.96666666666667,73.76666666666667,56.11666666666667,12.986666666666666,0.5183333333333333
Green,1999,29.31,53.38333333333333,63.45000000000001,73.51666666666667,55.699999999999996,12.611666666666666,0.37666666666666665
Green,2000,28.200000000000003,52.4,62.28333333333334,72.18333333333334,52.56666666666666,13.533333333333333,1.4766666666666666
Green,2001,28.64,53.26666666666667,63.46666666666667,73.64999999999999,54.85,14.045,0.5316666666666666
Green,2002,23.19,53.11666666666667,63.800000000000004,74.5,54.583333333333336,15.513333333333334,0.6366666666666667
Green,2003,18.5,51.63333333333333,62.61666666666667,73.56666666666666,51.833333333333336,16.353333333333335,1.085
Green,2004,25.38,51.61666666666667,62.23333333333333,72.88333333333334,52.51666666666667,13.898333333333333,0.8866666666666667
Green,2005,15.02,53.75,65.23333333333333,76.7,53.93333333333334,17.881666666666664,0.9766666666666667
Green,2006,25.0,53.5,63.78333333333333,74.0,53.81666666666666,15.081666666666665,0.9766666666666667
Green,2007,31.080000000000002,53.11666666666667,64.06666666666666,75.03333333333333,52.36666666666667,17.19,1.3266666666666667
Green,2008,30.77,52.03333333333333,62.616666666666674,73.25,52.11666666666667,15.568333333333333,0.9249999999999999
Green,2009,24.8,51.73333333333333,61.9,72.08333333333333,51.21666666666667,14.496666666666668,0.9683333333333333
Green,2010,27.669999999999998,56.35,66.41666666666667,76.5,54.93333333333334,17.14,1.68
Green,2011,20.72,53.78333333333333,63.78333333333333,73.78333333333333,52.81666666666666,16.745,1.4483333333333333
Green,2012,12.68,54.23333333333333,65.89999999999999,77.53333333333333,49.78333333333333,23.08,2.2866666666666666
Green,2013,25.09,52.78333333333333,63.15,73.5,52.550000000000004,16.345,0.945
Green,2014,30.55,51.61666666666667,61.93333333333334,72.21666666666667,51.81666666666666,14.366666666666667,1.05
Green,2015,27.18,53.583333333333336,63.550000000000004,73.5,53.01666666666667,14.721666666666666,1.075
Green,2016,24.91,54.583333333333336,64.35000000000001,74.10000000000001,53.96666666666667,15.203333333333333,1.0083333333333333
Green,2017,29.26,52.85,63.11666666666667,73.39999999999999,52.333333333333336,15.65,1.1783333333333335
Green,2018,37.11,53.6,63.4,73.25,53.73333333333333,14.793333333333335,1.0766666666666667
Green,2019,31.72,53.68333333333334,63.18333333333334,72.64999999999999,53.833333333333336,13.808333333333335,1.0466666666666666
Green,2020,26.26,53.083333333333336,63.083333333333336,73.05,52.46666666666667,15.248333333333333,1.26
Green,2021,16.86,55.06666666666666,65.15,75.28333333333333,52.63333333333333,17.315,1.7700000000000002
Green,2022,28.65,53.583333333333336,63.01666666666667,72.45,52.71666666666667,14.574999999999998,1.5266666666666666
Green,2023,14.82,53.75,64.56666666666666,75.3,51.23333333333333,18.203333333333333,1.7750000000000001
Green,2024,28.76,54.800000000000004,64.93333333333334,75.13333333333333,55.23333333333333,15.268333333333333,0.9483333333333333
Green Lake,1984,23.02,49.65,61.01666666666667,72.33333333333333,49.36666666666667,15.271666666666667,1.1716666666666666
Green Lake,1985,21.57,50.15,61.949999999999996,73.76666666666667,50.416666666666664,16.205000000000002,1.2333333333333332
Green Lake,1986,28.990000000000002,51.28333333333333,61.98333333333333,72.7,51.949999999999996,13.986666666666666,0.9616666666666668
Green Lake,1987,19.11,52.333333333333336,63.650000000000006,75.0,52.6,16.218333333333334,1.06
Green Lake,1988,16.18,51.050000000000004,63.916666666666664,76.78333333333333,49.166666666666664,20.611666666666668,1.7416666666666665
Green Lake,1989,17.79,48.73333333333333,60.03333333333333,71.28333333333333,48.78333333333333,14.735,1.0283333333333333
Green Lake,1990,26.23,50.35,60.96666666666667,71.61666666666666,51.01666666666667,13.715000000000002,0.8483333333333333
Green Lake,1991,19.509999999999998,52.13333333333333,62.86666666666667,73.61666666666666,52.88333333333333,15.061666666666667,0.8533333333333334
Green Lake,1992,18.9,47.416666666666664,58.21666666666667,69.01666666666667,47.666666666666664,13.501666666666667,1.0
Green Lake,1993,30.3,49.36666666666667,59.11666666666667,68.88333333333334,50.416666666666664,11.854999999999999,0.7383333333333333
Green Lake,1994,20.59,50.43333333333334,61.23333333333333,72.03333333333333,49.96666666666667,14.578333333333333,1.2083333333333333
Green Lake,1995,20.52,51.11666666666667,61.5,71.89999999999999,51.25,14.53,0.9716666666666667
Green Lake,1996,18.57,48.9,59.03333333333333,69.2,49.9,12.281666666666666,0.6916666666666668
Green Lake,1997,21.09,48.86666666666667,59.06666666666666,69.25,49.9,12.101666666666667,0.6966666666666667
Green Lake,1998,18.94,52.71666666666667,63.599999999999994,74.46666666666665,53.68333333333334,15.401666666666666,0.7233333333333333
Green Lake,1999,27.03,51.9,62.31666666666666,72.76666666666667,53.51666666666667,13.483333333333334,0.6066666666666667
Green Lake,2000,25.25,50.96666666666667,60.85,70.75,52.166666666666664,12.33,0.6233333333333334
Green Lake,2001,25.03,52.01666666666667,62.29999999999999,72.61666666666666,52.85,14.229999999999999,0.725
Green Lake,2002,18.65,51.61666666666667,62.1,72.55,52.6,14.768333333333333,0.795
Green Lake,2003,20.47,50.28333333333333,60.88333333333333,71.41666666666667,49.81666666666666,14.933333333333335,1.065
Green Lake,2004,26.62,49.86666666666667,60.15,70.4,50.51666666666667,13.081666666666669,0.9249999999999999
Green Lake,2005,13.06,51.56666666666666,63.15,74.71666666666667,51.75,17.206666666666667,0.935
Green Lake,2006,20.02,50.81666666666667,61.86666666666667,72.91666666666667,51.61666666666667,15.428333333333333,0.7483333333333334
Green Lake,2007,21.11,49.93333333333334,61.51666666666667,73.11666666666666,50.98333333333333,15.948333333333332,0.54
Green Lake,2008,28.68,48.949999999999996,60.050000000000004,71.16666666666667,50.61666666666667,14.145000000000001,0.47333333333333333
Green Lake,2009,15.68,47.949999999999996,59.166666666666664,70.38333333333334,48.43333333333334,14.546666666666667,0.6683333333333333
Green Lake,2010,27.31,52.01666666666667,62.71666666666667,73.39999999999999,52.98333333333333,14.763333333333334,0.6649999999999999
